Symbol, Unicode, Value, Features
i, 0069, close front unrounded, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT -ROUND +HIGH -LOW -BACK +ATR
ɪ, 026A, near-close front unrounded, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT -ROUND +HIGH -LOW -BACK -ATR
ɛ, 025B, open-mid front unrounded, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT -ROUND -HIGH -LOW -BACK +ATR
æ, 00E6, near-open front unrounded, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT -ROUND -HIGH +LOW -BACK -ATR
ə, 0259, mid central unrounded, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT -ROUND -HIGH -LOW -BACK -ATR
ʌ, 028C, open-mid back unrounded, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT -ROUND -HIGH -LOW +BACK -ATR
ɑ, 0251, open back unrounded, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT -ROUND -HIGH +LOW +BACK -ATR
u, 0075, close back rounded, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT +ROUND +HIGH -LOW +BACK +ATR
ʊ, 028A, near-close back rounded, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT +ROUND +HIGH -LOW +BACK -ATR
ɔ, 0254, open-mid back rounded, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT +ROUND -HIGH -LOW +BACK -ATR
e͡ɪ, 0065 0361 026A, diphthong closing mid-to-high narrow front, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT -ROUND -HIGH -LOW -BACK +ATR -WIDE
a͡ɪ, 0061 0361 026A, diphthong closing low-to-high wide, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT -ROUND -HIGH -LOW -BACK -ATR +WIDE
a͡ʊ, 0061 0361 028A, diphthong closing low-to-high backward front-to-back wide, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT +ROUND -HIGH +LOW -BACK -ATR +WIDE
o͡ʊ, 006F 0361 028A, diphthong closing mid-to-high narrow back, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT +ROUND -HIGH -LOW +BACK +ATR -WIDE
ɔ͡ɪ, 0254 0361 026A, diphthong closing mid-to-high forward back-to-front wide, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT -ROUND -HIGH -LOW +BACK -ATR +WIDE
ɜ˞, 025C 02DE, mid central rhotic stressed, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT -ROUND -HIGH -LOW -BACK -ATR RHOTIC +STRESSED
ə˞, 0259 02DE, mid central rhotic unstressed, +SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT -ROUND -HIGH -LOW -BACK -ATR RHOTIC -STRESSED